x,y,color
170,11,#09071d
171,11,#07061b
172,11,#44444e
173,11,#63636c
174,11,#696972
175,11,#68696e
176,11,#66676d
177,11,#6b6b76
178,11,#535363
179,11,#040317
180,11,#0a091c
181,11,#08071b
223,11,#303143
224,11,#343549
225,11,#adadb7
226,11,#b8b8c0
227,11,#515363
228,11,#7d7e8f
229,11,#252635
230,11,#71717e
231,11,#a1a0b3
232,11,#e2e2ea
233,11,#cecdd6
234,11,#b8b9ba
235,11,#f0eff3
236,11,#f6f6f6
237,11,#fcfcfa
238,11,#fdfdfb
239,11,#fefefc
240,11,#fdfcfe
241,11,#fbfafc
242,11,#fefdff
243,11,#d2d1d6
244,11,#f8f7fa
245,11,#ebe9f2
246,11,#a4a2ac
247,11,#a2a3a6
248,11,#a5a5ad
249,11,#acabb5
250,11,#d8d8da
251,11,#e9e9eb
252,11,#b3b2bd
253,11,#7f7e86
254,11,#595963
255,11,#2f3041
155,12,#0e0c22
156,12,#73737a
157,12,#807e8a
158,12,#050417
162,12,#e1e2e3
163,12,#c8c8c9
164,12,#f9f9f9
165,12,#d7d7d7
166,12,#cacaca
167,12,#e5e5e6
168,12,#e3e3e4
169,12,#e3e3e4
170,12,#fbfbf9
171,12,#f7f7f7
172,12,#969696
173,12,#bababa
174,12,#cccccc
175,12,#e1e1e1
176,12,#cdcdcd
177,12,#d3d3d3
178,12,#e3e3e1
179,12,#fefefc
180,12,#d1d1d1
181,12,#d8d8d6
182,12,#c7c7c5
183,12,#a6a6a4
184,12,#c8c8c6
185,12,#d8d9d6
186,12,#fdfdfd
187,12,#d4d4d3
188,12,#eeedf2
189,12,#cbcacd
190,12,#c1c1c2
191,12,#dadad8
192,12,#f4f4f6
193,12,#cbc9d0
194,12,#94939c
195,12,#82818e
196,12,#7f7f89
213,12,#babdc6
214,12,#bebec6
215,12,#9b9aa4
216,12,#63626f
217,12,#b8b8c5
219,12,#9f9fa7
220,12,#fefdfe
221,12,#fdfcff
222,12,#d9dadb
223,12,#65656f
224,12,#cacacf
225,12,#e4e4e5
226,12,#f5f5f7
227,12,#f0f0f1
228,12,#fdfdfe
229,12,#ffffff
