x,y,color
0,0,#a7a1a3
1,0,#a69f9e
2,0,#a59f9e
3,0,#a49e9d
4,0,#a19d9c
5,0,#a19d9c
6,0,#a29b99
7,0,#9f9a9a
8,0,#9f999b
9,0,#9f9a97
10,0,#9f9a97
11,0,#a09a98
12,0,#a29b9b
13,0,#a29b99
14,0,#a39c9a
15,0,#a39e9a
16,0,#a39e9c
17,0,#a39e9c
18,0,#a49f9d
19,0,#a6a19f
20,0,#a9a1a1
21,0,#a9a4a1
22,0,#aaa5a2
23,0,#aca4a4
24,0,#aca4a4
25,0,#a9a6a1
26,0,#aaa39f
27,0,#a7a39f
28,0,#a7a29e
29,0,#a6a19e
30,0,#a6a09d
31,0,#a59f9c
32,0,#a39e9b
33,0,#a19e98
34,0,#a39d97
35,0,#a29b97
36,0,#a29a96
37,0,#a09a98
38,0,#a09b98
39,0,#a19c98
40,0,#a19c99
41,0,#a29d9a
42,0,#a29d99
43,0,#a49d9d
44,0,#a49d9b
45,0,#a49e9b
46,0,#a49f9c
47,0,#a39e9c
48,0,#a29d9a
49,0,#a29b9a
50,0,#9e9a98
51,0,#9d9997
52,0,#9c9895
53,0,#9c9794
54,0,#9c9694
55,0,#9c9693
56,0,#9b948e
57,0,#9a938c
58,0,#9a938c
59,0,#98918a
60,0,#97908a
61,0,#968f89
62,0,#979089
63,0,#958f89
64,0,#958f89
65,0,#948e88
66,0,#958d8c
67,0,#958d88
68,0,#948d87
69,0,#928d88
70,0,#928b88
71,0,#928b87
72,0,#928b87
73,0,#948c87
74,0,#928c88
75,0,#928a86
76,0,#928b85
77,0,#928a85
78,0,#928b85
79,0,#928b88
80,0,#938d87
81,0,#958d89
82,0,#968e8a
83,0,#978f8b
84,0,#95928b
85,0,#95928b
86,0,#98928d
87,0,#99948d
88,0,#9a948f
89,0,#9d9592
90,0,#9c9692
91,0,#9b9692
92,0,#9b9792
93,0,#9d9693
94,0,#9c9892
95,0,#9e9593
96,0,#9b9691
97,0,#9b9691
98,0,#9c958f
99,0,#9c958f
100,0,#9b9490
101,0,#9a9591
102,0,#9a9490
103,0,#99938f
104,0,#96918d
105,0,#96928f
106,0,#979290
107,0,#96918b
108,0,#97918b
109,0,#97928c
110,0,#95908c
111,0,#96918d
112,0,#96928c
113,0,#96918d
114,0,#96918c
115,0,#948f89
116,0,#95908b
117,0,#95908b
118,0,#948f8a
119,0,#948f8b
120,0,#948f8b
121,0,#95908c
122,0,#96918d
123,0,#96918f
124,0,#98938f
125,0,#989391
126,0,#979392
127,0,#989490
128,0,#999490
129,0,#98938f
130,0,#999492
131,0,#999592
132,0,#9a9593
133,0,#9a9694
134,0,#9b9694
135,0,#9b9798
136,0,#9f9897
137,0,#9e999a
138,0,#9f999b
139,0,#a09b9a
140,0,#a09b9a
141,0,#a09b9a
142,0,#a19c9c
143,0,#a29c9c
144,0,#a19c9d
145,0,#a19c9d
146,0,#a39e9f
147,0,#a39ea0
148,0,#a49fa1
149,0,#a7a0a1
150,0,#a6a0a2
151,0,#a6a1a2
152,0,#a6a0a0
153,0,#a7a1a1
154,0,#a8a2a4
155,0,#a8a3a4
156,0,#aaa4a6
157,0,#aaa4a6
158,0,#aba5a5
159,0,#aba5a5
160,0,#aba5a6
161,0,#a9a5a4
162,0,#aaa5a3
163,0,#aaa5a4
164,0,#a7a5a1
165,0,#a8a5a1
166,0,#a7a4a2
167,0,#a7a3a1
168,0,#a8a4a3
169,0,#a8a4a3
170,0,#a8a4a2
171,0,#aba5a1
172,0,#aba5a4
173,0,#aba5a6
174,0,#aca6a7
175,0,#aca8a7
176,0,#ada7a7
177,0,#ada8a7
178,0,#aca9a8
179,0,#ada9a9
180,0,#aea8a8
181,0,#afa9a8
182,0,#b0abac
183,0,#b0abaa
184,0,#aeaba9
185,0,#aeaba8
186,0,#afacaa
187,0,#b1acac
188,0,#b2acac
189,0,#b1adad
190,0,#b0adab
191,0,#b1acac
192,0,#b2acac
193,0,#b3adad
194,0,#b3acac
195,0,#b1adab
196,0,#b0aca9
197,0,#b1aba9
198,0,#b0aaa7
199,0,#afaba6
200,0,#afaaa8
201,0,#b0aaa7
202,0,#b0aaa6
203,0,#ada9a6
204,0,#aea8a5
205,0,#acaaa6
206,0,#aea9a7
207,0,#b0aaa8
208,0,#b0aba9
209,0,#b0ada9
210,0,#b1adaa
211,0,#b2adaa
212,0,#b3adac
213,0,#b2aeab
214,0,#b1afab
215,0,#b0aeaa
216,0,#b3aeab
217,0,#b3aead
218,0,#b3b0ad
219,0,#b5b0ae
220,0,#b6b2af
221,0,#b8b2b1
222,0,#b8b2b1
223,0,#b7b3b1
224,0,#b7b4b1
225,0,#b8b4b3
226,0,#b8b3b0
227,0,#b8b3af
228,0,#b8b3b0
229,0,#b7b3b2
230,0,#b7b3b2
231,0,#b7b4b3
232,0,#b9b3b1
233,0,#b7b3af
234,0,#b6b4af
235,0,#b6b3ae
236,0,#b6b3ae
237,0,#b7b2ab
238,0,#b6b2ab
239,0,#b3b1ab
240,0,#b2b0aa
241,0,#b0aea7
242,0,#afada6
243,0,#aeaba6
244,0,#ada9a4
245,0,#aba8a2
246,0,#aaa7a0
247,0,#a8a7a2
248,0,#a8a69f
249,0,#a8a69e
250,0,#aaa6a1
251,0,#a6a5a0
252,0,#a6a49c
253,0,#a4a29a
254,0,#a2a099
255,0,#a2a099
256,0,#a29f98
257,0,#9f9e96
258,0,#a09d95
259,0,#9f9d95
260,0,#9d9d93
261,0,#9d9b93
262,0,#9d9b95
263,0,#9d9b93
264,0,#9c9a91
265,0,#9b9891
266,0,#999890
267,0,#98968f
268,0,#99968f
269,0,#98968e
270,0,#98958e
271,0,#98958e
272,0,#97948c
273,0,#94948b
274,0,#96928a
275,0,#969289
276,0,#959188
277,0,#929088
278,0,#938e89
279,0,#908d87
280,0,#918d87
281,0,#908d88
282,0,#8f8d88
283,0,#8f8c88
284,0,#8e8c87
285,0,#8d8b86
286,0,#8f8b85
287,0,#8f8b84
288,0,#8e8b84
289,0,#8f8b84
290,0,#8f8b84
291,0,#8e8a83
292,0,#8d8a82
293,0,#8e8985
294,0,#8f8a85
295,0,#8e8a84
296,0,#8f8b85
297,0,#8f8b86
298,0,#8f8b85
299,0,#8f8d87
300,0,#8f8d88
301,0,#908d88
302,0,#928e88
303,0,#918d87
304,0,#928e87
305,0,#918e89
306,0,#928d8a
307,0,#928d89
308,0,#918d8a
309,0,#908d89
310,0,#908d89
311,0,#8f8b85
312,0,#8c8985
313,0,#8c8985
314,0,#898883
315,0,#8b8881
316,0,#888681
317,0,#888681
318,0,#898682
319,0,#898782
320,0,#8b8783
321,0,#898782
322,0,#898782
323,0,#898682
324,0,#898782
325,0,#8a8782
326,0,#8a8783
327,0,#8c8882
328,0,#8b8984
329,0,#8d8a85
330,0,#8c8985
331,0,#8c8986
332,0,#8d8a86
333,0,#8d8a87
334,0,#8f8a87
335,0,#8f8b86
336,0,#8e8b87
337,0,#908c87
338,0,#908c88
339,0,#918d89
340,0,#928d89
341,0,#928e8b
342,0,#938f8b
343,0,#928e8a
344,0,#918e89
345,0,#908e88
346,0,#918d89
347,0,#908d88
348,0,#908d89
349,0,#908c89
350,0,#908c88
351,0,#908b88
352,0,#918c8a
353,0,#928d8c
354,0,#938e8d
355,0,#948e8d
356,0,#95908f
357,0,#96918f
358,0,#96928f
359,0,#95918e
360,0,#95908e
361,0,#94908d
362,0,#93908e
363,0,#948f8d
364,0,#958f8f
365,0,#958f8e
366,0,#96908f
367,0,#96918d
368,0,#97918e
369,0,#96928d
370,0,#928e8b
371,0,#928e8b
372,0,#918e8a
373,0,#938d8b
374,0,#908c8a
375,0,#8f8c8a
376,0,#8f8b89
377,0,#8d8a87
378,0,#8e8a87
379,0,#8e8a88
380,0,#8d8984
381,0,#8d8985
382,0,#8c8983
383,0,#8d8982
384,0,#8e8883
385,0,#8e8983
386,0,#8d8a87
387,0,#8d8a87
388,0,#8d8b87
389,0,#8f8b88
390,0,#8f8c89
391,0,#908c8a
392,0,#8d8c89
393,0,#8e8c87
394,0,#8e8b87
395,0,#8e8b87
396,0,#8e8b87
397,0,#8f8b87
398,0,#8e8c88
399,0,#8f8c88
400,0,#8f8c88
401,0,#908d89
402,0,#918e8a
403,0,#918e8a
404,0,#928e8b
405,0,#918e8b
406,0,#928e8b
407,0,#928e8b
408,0,#938f8c
409,0,#938f8c
410,0,#948f8d
411,0,#93908d
412,0,#94918d
413,0,#96918d
414,0,#95918e
415,0,#96918d
416,0,#94918d
417,0,#94908c
418,0,#95908b
419,0,#95908c
420,0,#93918a
421,0,#93918b
422,0,#95918d
423,0,#93918c
424,0,#93918c
425,0,#96918c
426,0,#96918c
427,0,#96928a
428,0,#94928d
429,0,#94928d
430,0,#94928b
431,0,#95928d
432,0,#95938e
433,0,#96938e
434,0,#969490
435,0,#96948f
436,0,#97948f
437,0,#97948f
438,0,#95938e
439,0,#96928d
440,0,#95928c
441,0,#93918c
442,0,#938f8c
443,0,#928f8b
444,0,#908e8a
445,0,#908d89
446,0,#908d89
447,0,#908d89
448,0,#918d8a
449,0,#8f8f8a
450,0,#938f8b
451,0,#93908b
452,0,#928e8b
453,0,#938f8b
454,0,#938e8a
455,0,#928f8b
456,0,#91908b
457,0,#948f8c
458,0,#93908b
459,0,#94918b
460,0,#94918b
461,0,#95928d
462,0,#94918c
463,0,#95928d
464,0,#94928e
465,0,#96938e
466,0,#97948f
467,0,#97948f
468,0,#97948f
469,0,#979590
470,0,#979590
471,0,#989691
472,0,#9a9893
473,0,#9a9994
474,0,#9a9995
475,0,#9b9a96
476,0,#9c9b96
477,0,#9d9c97
478,0,#a09d96
479,0,#9f9f99
480,0,#a1a09a
481,0,#a1a09b
482,0,#a1a09b
483,0,#a2a19c
484,0,#a3a29d
485,0,#a3a29d
486,0,#a5a49f
487,0,#a6a5a0
488,0,#a7a6a1
489,0,#a7a6a1
490,0,#aca9a4
491,0,#aaa9a4
492,0,#aaa9a4
493,0,#adaaa5
494,0,#aeaba6
495,0,#adada9
496,0,#b0afaa
497,0,#b0afab
498,0,#b2afaa
499,0,#b0afaa
500,0,#b4b0ac
501,0,#b2b1ad
502,0,#b4b2ae
503,0,#b4b3ae
504,0,#b3b1ad
505,0,#b3b1ad
506,0,#b5b1ad
507,0,#b6b2ae
508,0,#b6b2ae
509,0,#b6b2ae
510,0,#b4b3af
511,0,#b4b3af
512,0,#b4b2af
513,0,#b3b2af
514,0,#b3b2ae
515,0,#b4b3ae
516,0,#b5b2ae
517,0,#b4b1ad
518,0,#b3b1ad
519,0,#b3b0ad
520,0,#b3b0ad
521,0,#b4b0ad
522,0,#b4b0ac
523,0,#b3b0ae
524,0,#b2afac
525,0,#b2aeab
526,0,#b1adaa
527,0,#aeada9
528,0,#b0aeaa
529,0,#afada9
530,0,#b0aca9
531,0,#aeaaa7
532,0,#afaba8
533,0,#adacaa
534,0,#adacaa
535,0,#adaba9
536,0,#abaaa6
537,0,#aba8a5
538,0,#aaa8a4
539,0,#aaa8a5
540,0,#aaa7a4
541,0,#aaa8a6
542,0,#a9a7a5
543,0,#aaa8a4
544,0,#aaa7a3
545,0,#a7a6a2
546,0,#aaa7a3
547,0,#a9a8a4
548,0,#aca8a6
549,0,#ada9a6
550,0,#aba9a6
551,0,#aba9a6
552,0,#aba9a6
553,0,#aaa9a7
554,0,#ada9a7
555,0,#aca9a6
556,0,#aca9a6
557,0,#aca7a5
558,0,#aba8a5
559,0,#a9a8a5
560,0,#aaa7a6
561,0,#aaa8a8
562,0,#aba7a9
563,0,#aca7a9
564,0,#ada7a9
565,0,#aca8a8
566,0,#aea9ad
567,0,#acaaac
568,0,#adaaac
569,0,#aea9ac
570,0,#b0abac
571,0,#afaaad
572,0,#afaaad
573,0,#afabad
574,0,#afaaae
575,0,#afa8ad
576,0,#afa9ac
577,0,#ada8ac
578,0,#aca9aa
579,0,#aea8ac
580,0,#ada9aa
581,0,#ada8ab
582,0,#ada7a9
583,0,#ada7a9
584,0,#aba7a9
585,0,#aba7a6
586,0,#aca7a4
587,0,#aca4a4
588,0,#aaa4a7
589,0,#aca5a6
590,0,#ada5a5
591,0,#aea6a4
592,0,#aaa4a5
593,0,#aaa5a2
594,0,#a9a5a1
595,0,#a9a3a4
596,0,#a8a2a0
597,0,#a9a2a0
598,0,#a6a19e
599,0,#a6a0a1
0,1,#82817b
1,1,#83827a
2,1,#82827a
3,1,#81817a
4,1,#84847d
5,1,#82817b
6,1,#82817b
7,1,#808079
8,1,#807e78
9,1,#81807a
10,1,#82817b
11,1,#87857f
12,1,#8b8983
13,1,#8c8984
14,1,#8a8883
15,1,#878681
16,1,#86857f
17,1,#888680
18,1,#88857e
19,1,#8a867f
20,1,#8b8880
21,1,#8f8b84
22,1,#908c84
23,1,#918d84
24,1,#938f86
25,1,#928e84
26,1,#97928b
27,1,#98958d
28,1,#a09a95
29,1,#a09b95
30,1,#9c9893
31,1,#9b9792
32,1,#98948c
33,1,#98968b
34,1,#98958b
35,1,#9a948e
36,1,#99938e
37,1,#9a948e
38,1,#9c9791
39,1,#9d9893
40,1,#9f9a95
41,1,#9f9a98
42,1,#a09b98
43,1,#9c9793
44,1,#9c9693
45,1,#98938f
46,1,#948f8b
47,1,#918c88
48,1,#918d87
49,1,#8f8c87
50,1,#918d89
51,1,#928e8a
52,1,#94918c
53,1,#95908b
54,1,#949089
55,1,#94918c
56,1,#98948f
57,1,#999590
58,1,#9a9792
59,1,#9b9893
60,1,#999691
61,1,#979590
62,1,#989691
63,1,#97948f
64,1,#9b9692
65,1,#9b9692
66,1,#96948f
67,1,#96928c
68,1,#938f89
69,1,#908c88
70,1,#8e8a82
71,1,#8d8c87
72,1,#8e8d88
73,1,#918f8b
74,1,#93928d
75,1,#93918c
76,1,#93938d
77,1,#91918c
78,1,#92908c
79,1,#908f88
80,1,#8f8d87
81,1,#908c89
82,1,#908c87
83,1,#8e8b86
84,1,#8c8a84
85,1,#8c8883
86,1,#8c8983
87,1,#898784
88,1,#888681
89,1,#898783
90,1,#8c8984
91,1,#938e8a
92,1,#938e8b
93,1,#96908f
94,1,#95918e
95,1,#999393
96,1,#9a9390
97,1,#95928e
98,1,#95928d
99,1,#92918d
100,1,#94908d
101,1,#908e8b
102,1,#908d89
103,1,#928f8b
104,1,#91908a
105,1,#91918a
106,1,#91918b
107,1,#93918c
108,1,#92928b
109,1,#93918c
110,1,#92928d
111,1,#92918c
112,1,#93938c
113,1,#91928c
114,1,#919189
115,1,#91928c
116,1,#90908a
117,1,#919189
118,1,#90908a
119,1,#8f8f8a
120,1,#8e8d88
121,1,#8d8c86
122,1,#888981
123,1,#868781
124,1,#84857d
125,1,#83847e
126,1,#83847e
127,1,#888883
128,1,#8b8b86
129,1,#8f8e88
130,1,#8e8f8a
131,1,#908f8a
132,1,#908f8b
133,1,#92918d
134,1,#908f8b
135,1,#8d8c88
136,1,#8b8a86
137,1,#888782
138,1,#83827d
139,1,#84827c
140,1,#84827c
141,1,#87837e
142,1,#8a8682
143,1,#8f8888
144,1,#8f8a87
145,1,#908b88
146,1,#8f8a87
147,1,#908b89
148,1,#908c8d
149,1,#948e8d
150,1,#949091
151,1,#968f91
152,1,#979092
153,1,#978f93
154,1,#938c90
155,1,#8f8b8b
156,1,#8e888a
157,1,#91898d
158,1,#918c89
159,1,#8e8b8c
160,1,#8d8a8b
161,1,#938a8c
162,1,#968e8e
163,1,#989290
164,1,#989091
165,1,#999191
166,1,#9a9694
167,1,#9a9694
168,1,#9b9593
169,1,#989491
170,1,#979391
171,1,#979291
172,1,#96928f
173,1,#96918e
174,1,#95918e
175,1,#94918c
176,1,#8e8b85
177,1,#8f8a85
178,1,#8b8884
179,1,#87847f
180,1,#83807b
181,1,#85817d
182,1,#8d8683
183,1,#908c89
184,1,#918e8b
185,1,#958d8e
186,1,#9a9391
187,1,#9f989a
188,1,#9f9899
189,1,#9d9c9c
190,1,#a49ea2
191,1,#a5a0a1
192,1,#a19d9d
193,1,#9d999b
194,1,#9e9a9b
195,1,#9e9898
196,1,#a19d9b
197,1,#a39e9c
198,1,#a6a19f
199,1,#a9a4a4
200,1,#a7a1a4
201,1,#a7a1a4
202,1,#a7a2a4
203,1,#aba4a3
204,1,#a8a7a6
205,1,#a9a5a6
206,1,#a4a3a1
